software,counts,document
Flambda,1,1
Mathematical Components library,1,1
MetaO-Caml,1,1
cuFINUFFT,1,1
Dmipy,1,2
AXIS Neuron,1,1
MOCAP,1,1
EasyAlign,1,1
voronota,1,1
programming languages,1,1
AISHELL,1,2
RAdam,1,2
Spinal Cord Toolbox,1,1
scikitimage,1,1
quadprog,1,1
OpenCV,1,2
Kornia,1,1
NIST-RT,1,2
OTTOPIA,1,2
geomstats,1,2
Cuda 8,1,1
cuDNN 6,1,1
GLocalJob.py,1,1
PyTOM script,1,1
DeepPicker,1,1
py,1,1
ChimeraX,1,1
AutoCry-oPicker,1,1
crYOLO,1,1
Topaz,1,1
Warp,1,1
CHiME3,1,2
CHiME,1,1
Beam-formIt,1,1
tensorflow,1,1
L3-net,1,1
3,1,1
-Play,1,1
matlab,1,1
SketchMLbox,1,1
Mrtrix3,1,2
Neurokit,1,2
AgentFormer,1,1
FluidSynth,1,1
CGSTL,1,2
MatLab,1,1
fminsearch,1,1
Statistica,1,1
GNU MPFI 5,1,2
ctypes,1,1
GNU MPFR 2,1,1
CLAPACK 6,1,1
GNU MPFR,1,1
mpmath,1,1
SCIP Optimization Suite,1,1
Tobii Pro Glasses Controller,1,2
lab streaming layer,1,1
LSL),1,1
Axis Neuron,1,1
scikitlearn,1,2
3D Slicer,1,2
Software Radio Peripheral,1,1
fmincon,1,2
Google Maps,1,2
homalg library,1,1
script,1,2
CONCRETE 2,1,1
AdamW,1,1
Mathematica,1,1
mir eval,1,2
GitLab,1,1
WebAudio Modules,1,1
npm,1,1
Instangram,1,1
Package,1,1
Symmlet,1,1
SimpleFlow,1,1
MPI,1,1
SimpleITK,1,1
-SVD toolbox,1,2
LabView Virtual Instrument,1,1
Raspberry Pi,1,1
CellProfiler,1,1
Universal Software Radio Peripheral,1,2
FSL library,1,1
kwave,1,1
k-wave Matlab,1,1
SUNSAL,1,1
Pywavelet,1,1
Sparse2D,1,1
Pygsp,1,2
Blendshapes,1,1
MOCHA-TIMIT,1,1
AdaConv,1,1
scikit-learn,1,2
mne-features,1,1
MNE-HCP toolkit,1,2
iCAPs,1,2
ArtSpeechMRIfr,1,2
BCI2000,1,1
three.js,1,1
faustwasm,1,1
APIs,1,1
WebAudio AudioWorklet,1,1
Web Audio API,1,1
Alex-lin,1,1
madmom toolbox,1,2
mir_eval toolbox,1,1
ExaBGP,1,2
Quagga,1,1
mir eval toolbox,1,1
StoreConnect,1,2
imageJ,1,1
k-wave Matlab toolbox,1,1
tfkbNUFFT,1,1
Enfuse,1,1
Tensorly toolbox,1,2
GPU,1,1
KIKI-net,1,2
Sematch,1,1
3Dslicer,1,2
MAT-LAB,1,1
voxceleb_trainer,1,1
FastTalker,1,2
TinyWASE,1,1
ciwGAN,1,1
fiwGAN,1,1
FAµST,1,1
TexGen,1,1
PWC-NET,1,1
CPLEX,1,1
xDAWN,1,2
Android APIs,1,2
Android Application,1,1
Radio Interface Layer (,1,1
Google,1,1
Android API,1,1
Peripheral,1,1
Google Pixel,1,1
CrowdREM,1,1
XMobisense,1,1
OpenAirInterface (OAI),1,1
Android OS,1,1
server,1,1
libsndfile,1,1
FAUST compiler,1,1
KissFFT,1,1
WebAudio AnalyserNode,1,1
Ubuntu,1,1
MRtrix3,1,2
PedalBoard,1,1
Prox-Online-EM,1,2
ScholarOne,1,1
Light Field Toolbox,1,1
Matlab Image Processing Toolbox,1,2
Book Pro,1,1
PROXTV,1,1
Sporco,1,1
FISTA,1,1
SpikeGen-eratorGroup,1,2
GANilla,1,1
Flickr,1,1
webaudio.lib,1,1
AmpedStudio DAW,1,1
ChannelSplitterNode,1,1
Web Audio Modules,1,1
AudioWorkletNode,1,1
WebAudio API eXtension (,1,1
AmpedStudio,1,1
JavaScript Audio Plugin (,1,1
WebAssembly API,1,1
WAP GUI Builder,1,1
AudioNode,1,1
Focusrite Scarlett,1,1
Pro 16,1,1
CIIDefence,1,1
pytorch,1,1
.lib,1,1
WebAudio 18,1,1
Adenot,1,1
AudioWorklets,1,1
FASST toolbox,1,1
MusicLynx,1,1
WASABI Interactive Navigator,1,1
Wavenet,1,2
fdatool,1,1
Google Colab,1,2
PGM+NET,1,1
iCAPs toolbox,1,1
DeepLabV3+,1,2
codes,1,1
LabStreamingLayer,1,1
